stat,mean,min,max
learning_time,1.17,1.02,1.68
success,1.00,1,1
mean_decision_time,1.77e-06,1.49e-06,2.74e-06
best_fitness,100000.00,100000,100000
mean_fitness,38180.72,17632.00,100000.00
total_generations,3.20,1,6
hidden_nodes,0.00,0.00,0.00
