stat,mean,min,max
learning_time,224.98,31.30,902.83
success,0.67,0.00,1
mean_decision_time,2.87e-04,1.46e-04,3.67e-04
best_fitness,-168.49,-300.13,-2.05
mean_fitness,-830.68,-1013.83,-688.52
hidden_nodes,5.07,2,8
total_generations,67.67,8,100
winner_steps,30.00,30,30
winner_input_scaling,58.33,36.65,73.16
winner_input_min,-11.78,-27.57,-0.78
winner_background,0.42,-0.00,4.09
final_reward,-841.92,-1510.78,-2.89
