stat,mean,min,max
learning_time,4.17,3.64,4.57
success,1.00,1,1
success_generation,4.67,4,5
mean_decision_time,2.80e-04,2.50e-04,3.05e-04
best_fitness,-109.07,-109.20,-109.00
mean_fitness,-129.44,-142.16,-120.60
hidden_nodes,0.33,0.00,1
total_generations,4.67,4,5
winner_steps,50.00,50,50
winner_input_scaling,99.95,99.86,100.00
winner_input_min,-11.67,-15.01,-10.00
winner_background,0.25,-0.80,2.16
final_reward,-111.33,-115.00,-108.00
